State,EventDate,Duration,Shape
AZ,2013-01-01,30.0,formation
FL,2013-01-01,37.0,light
HI,2013-01-01,46.0,fireball
PA,2013-01-01,17.0,circle
CA,2013-01-01,44.0,light
FL,2013-01-01,28.0,fireball
VT,2013-01-01,6.0,oval
FL,2013-01-01,39.0,disk
WA,2013-01-01,49.0,light
UT,2013-01-01,47.0,fireball
WA,2013-01-01,49.0,unknown
WV,2013-01-01,10.0,fireball
UT,2013-01-01,2.0,cylinder
CA,2013-01-01,35.0,formation
CA,2013-01-01,28.0,sphere
WA,2013-01-01,20.0,light
HI,2013-01-01,20.0,sphere
AK,2013-01-01,14.0,triangle
IL,2013-01-01,7.0,cone
FL,2013-01-01,3.0,fireball
CA,2013-01-01,22.0,formation
NM,2013-01-01,7.0,egg
FL,2013-01-01,13.0,fireball
CA,2013-01-01,14.0,sphere
FL,2013-01-01,36.0,light
ON,2013-01-01,5.0,unknown
TX,2013-01-01,40.0,light
FL,2013-01-01,38.0,fireball
NH,2013-01-01,49.0,circle
SC,2013-01-01,2.0,fireball
PA,2013-01-01,32.0,unknown
TX,2013-01-01,34.0,circle
CA,2013-01-01,45.0,light
FL,2013-01-01,18.0,sphere
CA,2013-01-01,26.0,fireball
PA,2013-01-01,9.0,unknown
WI,2013-01-01,9.0,cone
FL,2013-01-01,31.0,circle
ON,2013-01-01,4.0,light
TX,2013-01-01,1.0,triangle
MT,2013-01-01,43.0,light
PA,2013-01-01,36.0,oval
CA,2013-01-01,14.0,fireball
MD,2013-01-01,4.0,formation
FL,2013-01-01,32.0,teardrop
CA,2013-01-01,17.0,circle
CA,2013-01-01,38.0,changing
MS,2013-01-01,26.0,fireball
OR,2013-01-01,14.0,unknown
WA,2013-01-01,30.0,disk
FL,2013-01-01,28.0,sphere
NM,2013-01-01,10.0,unknown
VA,2013-01-01,31.0,triangle
CA,2013-03-31,2.0,circle
TX,2013-03-31,11.0,formation
WA,2013-03-31,14.0,unknown
MO,2013-03-31,31.0,light
IL,2013-03-31,29.0,cone
AZ,2013-03-31,6.0,light
CA,2013-03-31,22.0,sphere
CA,2013-03-31,44.0,circle
MI,2013-03-31,45.0,fireball
CA,2013-03-31,5.0,changing
IN,2013-03-31,36.0,triangle
CA,2013-03-31,32.0,light
UT,2013-03-31,4.0,sphere
AZ,2013-03-31,49.0,light
PA,2013-03-30,44.0,unknown
MI,2013-03-30,47.0,unknown
MA,2013-03-30,22.0,light
OH,2013-03-30,1.0,triangle
MI,2013-03-30,7.0,triangle
FL,2013-03-30,33.0,fireball
CO,2013-03-30,41.0,light
IL,2013-03-30,26.0,sphere
IL,2013-03-30,33.0,sphere
NY,2013-03-30,43.0,triangle
AZ,2013-03-30,7.0,fireball
TX,2013-03-30,48.0,fireball
FL,2013-03-30,27.0,circle
WA,2013-03-30,45.0,fireball
CA,2013-03-30,38.0,unknown
RI,2013-03-30,32.0,unknown
VA,2013-03-30,1.0,light
FL,2013-03-30,14.0,light
WA,2013-03-30,17.0,changing
CA,2013-03-30,49.0,triangle
CA,2013-03-30,26.0,changing
MA,2013-03-30,25.0,changing
AZ,2013-03-30,46.0,cigar
CA,2013-03-30,8.0,rectangle
CA,2013-03-30,33.0,diamond
MA,2013-03-30,47.0,circle
CA,2013-03-30,42.0,light
NY,2013-03-29,23.0,light
NY,2013-03-29,29.0,light
KY,2013-03-29,22.0,circle
QC,2013-03-29,29.0,light
AZ,2013-03-29,25.0,unknown
VA,2013-03-29,30.0,triangle
FL,2013-03-29,32.0,egg
MN,2013-03-29,23.0,triangle
FL,2013-03-29,24.0,light
NY,2013-03-29,20.0,diamond
AR,2013-03-29,43.0,circle
PA,2013-03-29,9.0,unknown
AZ,2013-03-29,42.0,circle
FL,2013-03-29,29.0,fireball
AL,2013-03-29,16.0,cylinder
IA,2013-03-29,35.0,changing
IA,2013-03-29,26.0,changing
CA,2013-03-28,47.0,fireball
MI,2013-03-28,18.0,unknown
MN,2013-03-28,30.0,fireball
NJ,2013-03-28,2.0,circle
OH,2013-03-28,13.0,circle
CA,2013-03-28,16.0,cylinder
CO,2013-03-28,30.0,unknown
PA,2013-03-28,45.0,formation
OR,2013-03-28,3.0,fireball
NC,2013-03-28,43.0,fireball
FL,2013-03-28,29.0,disk
WA,2013-03-28,18.0,unknown
IL,2013-03-27,6.0,triangle
TN,2013-03-27,18.0,formation
ID,2013-03-27,3.0,rectangle
AL,2013-03-27,19.0,sphere
BC,2013-03-27,39.0,unknown
OH,2013-03-27,49.0,oval
MA,2013-03-27,34.0,fireball
BC,2013-03-27,33.0,teardrop
CT,2013-03-27,21.0,triangle
CA,2013-03-26,46.0,triangle
FL,2013-03-26,37.0,fireball
OR,2013-03-26,33.0,triangle
NM,2013-03-26,1.0,light
FL,2013-03-26,18.0,light
ME,2013-03-26,17.0,light
ME,2013-03-26,29.0,light
FL,2013-03-25,3.0,light
MD,2013-03-25,8.0,triangle
AZ,2013-03-25,25.0,flash
AZ,2013-03-25,25.0,unknown
FL,2013-03-25,24.0,oval
VA,2013-03-24,37.0,sphere
AR,2013-03-24,40.0,triangle
FL,2013-03-24,43.0,oval
PA,2013-03-24,29.0,diamond
CT,2013-03-24,6.0,formation
IN,2013-03-23,8.0,fireball
ON,2013-03-23,49.0,light
CA,2013-03-23,43.0,fireball
WA,2013-03-23,1.0,circle
TX,2013-03-23,25.0,triangle
FL,2013-03-23,47.0,disk
KS,2013-03-23,39.0,flash
VA,2013-03-23,19.0,oval
FL,2013-03-23,27.0,sphere
WV,2013-03-23,24.0,fireball
NY,2013-03-23,17.0,fireball
WA,2013-03-23,10.0,changing
OH,2013-03-23,19.0,triangle
OH,2013-03-23,11.0,fireball
VA,2013-03-23,42.0,circle
CA,2013-03-23,7.0,light
IN,2013-03-23,21.0,light
MA,2013-03-22,44.0,circle
NJ,2013-03-22,28.0,fireball
MD,2013-03-22,15.0,circle
NJ,2013-03-22,21.0,light
MA,2013-03-22,4.0,fireball
NH,2013-03-22,40.0,light
DE,2013-03-22,12.0,fireball
NY,2013-03-22,39.0,fireball
VA,2013-03-22,7.0,unknown
CT,2013-03-22,28.0,unknown
ME,2013-03-22,41.0,fireball
OH,2013-03-22,33.0,unknown
BC,2013-03-22,33.0,diamond
MI,2013-03-22,28.0,sphere
WI,2013-03-22,28.0,disk
CA,2013-03-22,49.0,light
SC,2013-03-21,25.0,light
FL,2013-03-21,24.0,light
FL,2013-03-21,17.0,circle
NC,2013-03-21,38.0,light
CA,2013-03-21,29.0,unknown
FL,2013-03-21,6.0,unknown
CA,2013-03-20,41.0,unknown
OR,2013-03-20,13.0,cylinder
FL,2013-03-20,38.0,circle
WA,2013-03-20,29.0,light
WA,2013-03-20,10.0,fireball
CA,2013-03-20,5.0,sphere
LA,2013-03-20,45.0,fireball
CA,2013-03-20,19.0,disk
QC,2013-03-20,43.0,oval
TX,2013-03-20,25.0,sphere
UT,2013-03-20,47.0,sphere
IA,2013-03-20,44.0,unknown
MA,2013-03-20,37.0,triangle
OH,2013-03-19,32.0,diamond
NY,2013-03-19,48.0,fireball
TX,2013-03-19,13.0,formation
OK,2013-03-19,40.0,triangle
